trial,Self,Other,Feedback,strategy,agent_id,Memory,cumulative
19,1,1,1,WSLS,2,NA,0.8421052631578947
20,1,1,1,WSLS,2,NA,0.85
21,1,0,0,WSLS,2,NA,0.8095238095238095
22,0,0,1,WSLS,2,NA,0.8181818181818182
23,0,0,1,WSLS,2,NA,0.8260869565217391
24,0,0,1,WSLS,2,NA,0.8333333333333334
25,0,0,1,WSLS,2,NA,0.84
26,1,0,0,WSLS,2,NA,0.8076923076923077
27,0,0,1,WSLS,2,NA,0.8148148148148148
28,0,0,1,WSLS,2,NA,0.8214285714285714
29,0,0,1,WSLS,2,NA,0.8275862068965517
30,0,0,1,WSLS,2,NA,0.8333333333333334
31,0,1,0,WSLS,2,NA,0.8064516129032258
32,1,1,1,WSLS,2,NA,0.8125
33,1,1,1,WSLS,2,NA,0.8181818181818182
34,1,1,1,WSLS,2,NA,0.8235294117647058
35,1,1,1,WSLS,2,NA,0.8285714285714286
36,1,1,1,WSLS,2,NA,0.8333333333333334
37,1,1,1,WSLS,2,NA,0.8378378378378378
38,1,1,1,WSLS,2,NA,0.8421052631578947
39,1,1,1,WSLS,2,NA,0.8461538461538461
40,0,1,0,WSLS,2,NA,0.825
41,1,0,0,WSLS,2,NA,0.8048780487804879
42,0,0,1,WSLS,2,NA,0.8095238095238095
43,0,0,1,WSLS,2,NA,0.813953488372093
44,0,0,1,WSLS,2,NA,0.8181818181818182
45,0,0,1,WSLS,2,NA,0.8222222222222222
46,0,0,1,WSLS,2,NA,0.8260869565217391
47,0,0,1,WSLS,2,NA,0.8297872340425532
48,0,0,1,WSLS,2,NA,0.8333333333333334
49,0,0,1,WSLS,2,NA,0.8367346938775511
50,1,0,0,WSLS,2,NA,0.82
51,0,1,0,WSLS,2,NA,0.803921568627451
52,1,1,1,WSLS,2,NA,0.8076923076923077
53,1,1,1,WSLS,2,NA,0.8113207547169812
54,1,1,1,WSLS,2,NA,0.8148148148148148
55,1,1,1,WSLS,2,NA,0.8181818181818182
56,0,1,0,WSLS,2,NA,0.8035714285714286
57,1,1,1,WSLS,2,NA,0.8070175438596491
58,1,1,1,WSLS,2,NA,0.8103448275862069
59,1,1,1,WSLS,2,NA,0.8135593220338984
60,1,1,1,WSLS,2,NA,0.8166666666666667
61,1,0,0,WSLS,2,NA,0.8032786885245902
62,0,0,1,WSLS,2,NA,0.8064516129032258
63,1,0,0,WSLS,2,NA,0.7936507936507936
