T,param,subj,mean,q025,q975,true
60,p_loss,19,0.237507636605,0.11423484125,0.3699562025,0.22280608605450872
60,p_loss,20,0.208216293524,0.0895739931,0.3374533832499999,0.130603036968466
60,p_loss,21,0.23379261055,0.11192652075000001,0.37191931624999996,0.3367805611738553
60,p_loss,22,0.213525135847,0.097856487325,0.3483075905,0.17470358430880392
60,p_loss,23,0.188346181331,0.084787700225,0.30475231374999995,0.2080343931219684
60,p_loss,24,0.176783315364,0.06959663725,0.29933425075,0.18935934375271868
60,p_loss,25,0.181487894287,0.07202591365000001,0.3001528654999999,0.06205294240666561
60,p_loss,26,0.133563268318,0.041795467425,0.234980004,0.051138411568677836
60,p_loss,27,0.341227399447,0.194424068,0.50388030425,0.28448477398424826
60,p_loss,28,0.158728400569,0.06371367174999999,0.264184189,0.060771633934181925
60,p_loss,29,0.250354485457,0.11151412975000001,0.39564065475,0.3028041118840477
60,p_loss,30,0.152757384043,0.053317811075,0.26024514949999994,0.12450540830620319
60,p_loss,31,0.27827920636,0.14336538000000001,0.43289406724999985,0.35135211137502415
60,p_loss,32,0.213986101283,0.09132853767500002,0.34611384425,0.3473007727347709
60,p_loss,33,0.315803523655,0.17758273700000002,0.47679727725,0.27393070370993394
60,p_loss,34,0.184515530347,0.0809796754,0.304366755,0.07907881456831625
60,p_loss,35,0.22746082871,0.10816973400000002,0.36529714899999993,0.2530329435641257
60,p_loss,36,0.185719086956,0.08307129205000001,0.3068213664999999,0.22429766457573014
60,p_loss,37,0.233159197092,0.10648282275000001,0.366878385,0.25145083575959454
60,p_loss,38,0.15025093768,0.052611509800000004,0.253131509,0.12204441130037091
60,p_loss,39,0.249513737746,0.12336199125,0.40508294175,0.15623032775695644
60,p_loss,40,0.178886585502,0.0667899595,0.3111215084999999,0.1445961434693631
60,p_win,1,0.91075539049,0.8060135752500001,0.9858599054999999,0.8839467158292186
60,p_win,2,0.74310746365,0.59316862975,0.9227767874999999,0.7499261680490564
60,p_win,3,0.88135437601,0.7534085225,0.9732277165000001,0.9133758565971472
60,p_win,4,0.84347596611,0.70825010575,0.96255419175,0.823342980870666
60,p_win,5,0.85985240376,0.72677615875,0.9728410875,0.7668748629365343
60,p_win,6,0.66628514691,0.46567559524999996,0.8501466445,0.8046782933557192
60,p_win,7,0.91556661214,0.80399686375,0.98676678375,0.9361228329921225
60,p_win,8,0.85562462716,0.716142135,0.96289271775,0.9474729380036218
60,p_win,9,0.87351610478,0.7478156445,0.96939413075,0.9140823646437168
60,p_win,10,0.868902562,0.73454914025,0.967786721,0.8021577028962182
60,p_win,11,0.77978800034,0.62808625075,0.93074545475,0.949003690816077
60,p_win,12,0.61023967217,0.42914804125,0.812695466,0.6346632864957656
60,p_win,13,0.80579647867,0.6642509805000001,0.9423560835,0.8836886110968006
60,p_win,14,0.84970672868,0.7328129609999999,0.9544535309999999,0.8510855600474507
60,p_win,15,0.79252638045,0.6471388395000001,0.9428826427499999,0.6951848347011904
60,p_win,16,0.88176897179,0.7671780335,0.9757806177499999,0.9529860525839223
60,p_win,17,0.92256235816,0.8207747897500001,0.98969910675,0.9171177473590725
60,p_win,18,0.76107273792,0.5964600907500001,0.9010170765,0.7882741570911237
60,p_win,19,0.88444432056,0.7601879202500001,0.9762693067499999,0.9498947975326272
60,p_win,20,0.71551727801,0.5445087465,0.867788334,0.8080019318860955
60,p_win,21,0.90567345455,0.8036647674999999,0.98118957275,0.9142074789858596
60,p_win,22,0.74391055838,0.5699365442500001,0.9038933092499999,0.858731903613816
60,p_win,23,0.87804055228,0.75539107375,0.9753558045,0.9308926406934288
60,p_win,24,0.82868045441,0.68242014875,0.9643925525,0.8576696508730708
60,p_win,25,0.69914471609,0.5210949819999999,0.873127354,0.6657681349136468
60,p_win,26,0.78395158564,0.6256750117500001,0.9271140509999999,0.8515821029648625
60,p_win,27,0.82227958376,0.674277333,0.9538163667499999,0.690158412847367
60,p_win,28,0.82478176255,0.6704938239999999,0.95703549825,0.8808540687135484
60,p_win,29,0.88124780428,0.7520994597499999,0.9806941684999999,0.8089513433407137
60,p_win,30,0.66021304046,0.4889916305,0.821591412,0.5604535636864918
60,p_win,31,0.74564694484,0.5678312839999999,0.9172448425,0.5410597859949623
60,p_win,32,0.79552614882,0.6529611095,0.93532217725,0.7308637464325278
60,p_win,33,0.87764882876,0.75621143875,0.9787049635,0.9506019968084207
60,p_win,34,0.89984228954,0.789132692,0.97900679475,0.9643787168714877
60,p_win,35,0.85860726566,0.71907047875,0.9702278599999999,0.7962784486739538
60,p_win,36,0.86446792547,0.735705772,0.97575767225,0.8828664959003274
60,p_win,37,0.85879085747,0.7254300235000001,0.9672818337499999,0.9403028114099171
60,p_win,38,0.76979972695,0.58652413175,0.93353192,0.78256711431091
60,p_win,39,0.89688066124,0.7778290735,0.98161830175,0.9304568096597569
60,p_win,40,0.65463783304,0.47617194249999995,0.819240709,0.7250446303092478
120,.chain,NA,1.5,1,2,NA
120,.draw,NA,500.5,25.975,975.025,NA
120,.iteration,NA,250.5,13,488,NA
120,lapse,1,0.122429872450272,0.0051801943375,0.28372806549999996,0.07590754156432193
120,lapse,2,0.18469771258743,0.0053161561125,0.46933930474999996,0.5687759753785662
120,lapse,3,0.1596125976486531,0.0053861637375000005,0.3836616355,0.24328380360939894
120,lapse,4,0.21866572313106,0.006395693840000001,0.6557511679999999,0.3985452712782476
120,lapse,5,0.15962129883491,0.005197656075,0.39967679449999993,0.09149824675624434
120,lapse,6,0.159592561863777,0.0051127403175,0.38169272399999993,0.15464292214221906
120,lapse,7,0.16494841065916,0.005088014722499999,0.44737480375,0.10164953390812345
120,lapse,8,0.20126609870447,0.0051492169125,0.5418434802500001,0.07165183689449042
120,lapse,9,0.19428421662440862,0.00581473968,0.5002943732499999,0.21294401492868104
120,lapse,10,0.19680700994144,0.005913208545,0.5677957732499997,0.29881264634619453
120,lapse,11,0.226297168157265,0.005835213467500001,0.6469594305,0.2581403648162402
120,lapse,12,0.142681845269462,0.005578013865000001,0.37261036649999996,0.11168967222493094
