param,mean,q025,q975,T,sim_id,true
p_win,0.71827110729,0.5444571712499999,0.8940153585,60,27,0.7274961673798378
p_loss,0.1135212870233,0.019670294475,0.266131939,60,27,0.18384787387159846
lapse,0.1585731625994,0.018865208550000005,0.368063056,60,27,0.05074726067876752
p_win,0.8770198606,0.73092038925,0.979682705,60,28,0.9115965399883973
p_loss,0.325376086638,0.15165042700000003,0.5154642535,60,28,0.38330903522181303
lapse,0.1673172382676,0.027630301700000005,0.38430599424999967,60,28,0.14484326481539495
p_win,0.75785131958,0.58730950675,0.91375768375,60,29,0.9544261884406566
p_loss,0.1228965060138,0.020218691475,0.2851567359999999,60,29,0.20383042988820646
lapse,0.16806282533,0.022025205975,0.39116797999999997,60,29,0.30079710759629574
p_win,0.94776874677,0.86592553825,0.99343649975,60,30,0.8368280317187732
p_loss,0.258238173081,0.11906829075,0.41383168925,60,30,0.2707418950989314
lapse,0.0887324300173,0.010428919775,0.2587474939999999,60,30,0.021102728730390118
p_win,0.66234058045,0.477063784,0.8702112334999998,60,31,0.65220507524542
p_loss,0.353977815234,0.11906764825,0.5527954757499999,60,31,0.27075425416230786
lapse,0.2339519918543,0.02847583785,0.5405884712500001,60,31,0.14804467528132398
p_win,0.82046678177,0.6323177540000001,0.96477104675,60,32,0.8443810988824738
p_loss,0.269827190033,0.10979457725,0.44539483724999995,60,32,0.3108202358157557
lapse,0.1993584040817,0.0249013733,0.42748139074999997,60,32,0.290101918450034
p_win,0.91305789942,0.8042227904999999,0.98585013025,60,33,0.9284430871834556
p_loss,0.296140605854,0.15251771575,0.46859887299999997,60,33,0.2087368545022952
lapse,0.1227878907766,0.0145427353,0.3053330609999999,60,33,0.18663541402783776
p_win,0.81238253921,0.62743503275,0.967358696,60,34,0.7717625815742516
p_loss,0.177651312145,0.04886936285000001,0.32597476724999996,60,34,0.08317889440512045
lapse,0.1831721357977,0.032811096974999995,0.3935016745,60,34,0.29822681925663513
p_win,0.71093254857,0.49880200500000005,0.9086273454999999,60,35,0.8076616943245178
p_loss,0.4066947002,0.22616756775000002,0.560361076,60,35,0.43237012757502424
lapse,0.2240738580507,0.039481076175000004,0.51092657575,60,35,0.37027586230702503
p_win,0.73070881792,0.5426533600000001,0.92192286025,60,36,0.7410041191246526
p_loss,0.207412988645,0.06014920950000001,0.3723860217499999,60,36,0.24512448313639948
lapse,0.2209429004179,0.032658864399999994,0.46635565975,60,36,0.06756102319891624
p_win,0.57344521802,0.39388262675,0.7746827577500001,60,37,0.4882083357792386
p_loss,0.155043603337,0.026386258775,0.3228366825,60,37,0.21828622946110698
lapse,0.1893945841043,0.0316499925,0.4436435034999999,60,37,0.05139945357625471
p_win,0.87828718812,0.737703188,0.9856624005,60,38,0.9783196047122552
p_loss,0.1889653805966,0.032191766025000006,0.35197098824999984,60,38,0.17240061302525336
lapse,0.1596023268426,0.0270153191,0.3550840169999999,60,38,0.3184922809070272
p_win,0.6887786368,0.52127224425,0.84845147625,60,39,0.4981400988530537
p_loss,0.1108947225265,0.015670088325,0.253968038,60,39,0.07801236703242183
lapse,0.1563247197924,0.027422216775,0.35951832375,60,39,0.32341186550176587
p_win,0.64919650891,0.45215036475,0.8672257919999999,60,40,0.7992072955989009
p_loss,0.228651062726,0.076374103625,0.39125183275000003,60,40,0.19150476736064645
lapse,0.218389432748,0.032196202125,0.48765007899999996,60,40,0.28621702592097487
p_win,0.88271712391,0.7734078987499999,0.96932080175,120,1,0.9155793265271777
p_loss,0.178304592319,0.06388147467500001,0.303183164,120,1,0.11818553548242293
lapse,0.152633504639,0.028066400525,0.32249427125,120,1,0.10390237785863017
p_win,0.90420690859,0.803255401,0.9818097745,120,2,0.9513998392565464
p_loss,0.204999121246,0.08514022832500001,0.318886442,120,2,0.16418286150788047
lapse,0.1390703639193,0.026164324100000004,0.30010628024999997,120,2,0.2024641502066364
p_win,0.92973513052,0.83774950825,0.98447404875,120,3,0.9376954345771407
p_loss,0.0645369091566,0.011228904075,0.13437488399999997,120,3,0.060442350466694
lapse,0.0759823487767,0.012368184124999999,0.18428052224999994,120,3,0.061804692648367326
p_win,0.77590590657,0.618651323,0.9277257672500001,120,4,0.8735733493568022
p_loss,0.214908814688,0.079660047950000007,0.350288648,120,4,0.2812615836890845
lapse,0.217097157508,0.041990205499999995,0.45818118025,120,4,0.19753660769807932
p_win,0.62971185167,0.47507353100000005,0.7974286065,120,5,0.6058560993110897
p_loss,0.34126886212,0.165546724,0.48141252125,120,5,0.2367843478502223
lapse,0.2496746963607,0.0389324596,0.5668053774999999,120,5,0.3422264465175381
p_win,0.86268393254,0.74571729,0.9662340115,120,6,0.7995270715575511
p_loss,0.221424501567,0.083626692675,0.35028354,120,6,0.22494836769469098
lapse,0.1743091117086,0.027533779,0.35910814799999996,120,6,0.10021057291126036
p_win,0.81827366473,0.7038818324999999,0.9285674195,120,7,0.9000718412106217
p_loss,0.1020971529131,0.02234836985,0.20878307724999995,120,7,0.10402351170008603
lapse,0.1443744697479,0.024790766650000004,0.32697943049999995,120,7,0.1760535986024551
p_win,0.93586392028,0.85794230875,0.98937930125,120,8,0.9484049365759958
p_loss,0.267570387072,0.14511798475,0.39818916624999995,120,8,0.3292914698822497
lapse,0.1098828444639,0.019092691575,0.26086223549999993,120,8,0.13613084990443275
p_win,0.87607109625,0.77589233525,0.9650266947499999,120,9,0.8529730715109276
p_loss,0.0920924173721,0.019727324100000002,0.19664410074999994,120,9,0.15377648829131696
lapse,0.1181245401693,0.019770535625,0.25044027224999993,120,9,0.08992188001179796
p_win,0.79284344081,0.6448908607499999,0.9397872575,120,10,0.7484352494090238
p_loss,0.49972148567,0.365087912,0.63333812925,120,10,0.5454365516309823
lapse,0.1981011054304,0.022551937175,0.4467613635,120,10,0.2524522978441951
p_win,0.7437325933,0.6066618482499999,0.9038893917499999,120,11,0.8799923923893845
p_loss,0.279467276986,0.11231869224999999,0.43773326625,120,11,0.15004223201479838
lapse,0.238424504186,0.03862427185,0.51777321775,120,11,0.39446320074876057
p_win,0.91041562624,0.8158946239999999,0.98157473925,120,12,0.9626957240828806
p_loss,0.51413642338,0.38192066675,0.64361593825,120,12,0.4716096615662802
lapse,0.1250588609519,0.021237463375,0.2812008735,120,12,0.16432507968297924
p_win,0.78409124514,0.65551009625,0.9061780257500001,120,13,0.6659361161941707
p_loss,0.1587980535374,0.0423443656,0.28545276475,120,13,0.08052973628758978
lapse,0.1878441500935,0.028592627025,0.38533036425,120,13,0.28291499812456283
p_win,0.81824993032,0.67789949175,0.9484540145,120,14,0.8592033943337432
p_loss,0.333612777872,0.17414531200000002,0.48632717649999996,120,14,0.20460597852400936
lapse,0.2207891530514,0.03909892300000001,0.45127467275,120,14,0.4267050350546186
p_win,0.58545210678,0.43157709024999996,0.7392286352499999,120,15,0.44833211479509555
p_loss,0.228766201683,0.08837224310000001,0.37030156775,120,15,0.24020882619578318
lapse,0.2195410312899,0.040336820525,0.473724769,120,15,0.27960069344626676
p_win,0.7899371971,0.658577765,0.9141320115,120,16,0.810970111013965
p_loss,0.20905394538,0.07519674455,0.3479512425,120,16,0.30270056497621567
lapse,0.204432184674,0.032421506575,0.44571448425000004,120,16,0.2299790175990442
p_win,0.59901672416,0.47906780925000003,0.7291242777499999,120,17,0.5237883391366122
p_loss,0.087116698107,0.0199427453,0.18295309624999995,120,17,0.07882415685972027
lapse,0.1214365834084,0.019778918525,0.2830274267499998,120,17,0.06976973514528788
p_win,0.86971718438,0.74958328375,0.96969870675,120,18,0.9301232120789125
p_loss,0.45443658733,0.30341312,0.5946978202499998,120,18,0.40789874248570446
lapse,0.1777243820565,0.02655851815,0.38364115899999995,120,18,0.1486704948966871
p_win,0.76527502933,0.62295856525,0.9354738925,120,19,0.7772406840470346
p_loss,0.459626160581,0.29127989675000004,0.6087736555000001,120,19,0.4423168100107303
lapse,0.2268990143182,0.026914985975,0.4984144322499998,120,19,0.06003568067520291
p_win,0.86026283345,0.73619531375,0.9653665067500001,120,20,0.9709972332401732
p_loss,0.158891450649,0.045553581475,0.2869837935,120,20,0.18657436265948402
lapse,0.166247238848,0.02470681545,0.3602016897499999,120,20,0.16105647585461383
p_win,0.75410115177,0.6200488429999998,0.90373584575,120,21,0.6962494053418562
p_loss,0.35513823149,0.17513678875,0.51114113425,120,21,0.35802519628383217
lapse,0.2338835179957,0.03964058825,0.50348059875,120,21,0.06204324331953752
p_win,0.87407136668,0.7649152750000001,0.9669541302500001,120,22,0.8885326628135177
p_loss,0.0892769592335,0.018703534025,0.18589576174999997,120,22,0.19007582551264615
lapse,0.1174235240391,0.022299663525000003,0.2616804972499999,120,22,0.07854549828108416
p_win,0.81750092934,0.6882430964999999,0.9533090517499999,120,23,0.795774369523456
p_loss,0.195965381525,0.066325694775,0.31615051,120,23,0.16616654700701608
lapse,0.1909366438739,0.022919811375,0.42270977525,120,23,0.2556539964703
p_win,0.84364214824,0.71285631125,0.95873638425,120,24,0.6945075619365054
p_loss,0.296489685109,0.11873317725,0.4377604515,120,24,0.3996474565706275
lapse,0.206116232972,0.03501629045000001,0.43298729649999995,120,24,0.10569213745247732
p_win,0.79007818007,0.65134312375,0.927264599,120,25,0.8011516065229958
p_loss,0.135726405165,0.035910005349999996,0.25050040325,120,25,0.07324163710133604
lapse,0.177649735319,0.0383796075,0.37062488125,120,25,0.11818384660608174
p_win,0.82078216243,0.68608584475,0.94507101625,120,26,0.822816676452748
p_loss,0.1715131015305,0.044378539950000004,0.30636603124999995,120,26,0.1966188087892983
lapse,0.1869030197785,0.023189287225,0.39529892899999997,120,26,0.13525600773660654
p_win,0.51535942227,0.38171240325,0.63862337025,120,27,0.4888208739342749
p_loss,0.0738184590506,0.01684232595,0.15668988375,120,27,0.11310371314175516
lapse,0.1138769546327,0.01785306995,0.26843721374999996,120,27,0.020143571656342514
p_win,0.92213768775,0.84514971275,0.9780340574999999,120,28,0.8953111641910805
p_loss,0.02812621881904,0.0035808612900000004,0.07573566142499993,120,28,0.02364771394093437
lapse,0.0419062631846,0.0053302981375,0.104726486,120,28,0.02475279843589253
p_win,0.83781440986,0.7030430277499999,0.9549882305,120,29,0.8020012743505222
p_loss,0.1902666030785,0.06650829772500001,0.3165072285,120,29,0.1324499989973528
lapse,0.1746025942595,0.03167981065,0.3738087674999999,120,29,0.10566687503011414
p_win,0.73526598988,0.593583971,0.89918755825,120,30,0.5979232279286961
p_loss,0.213732689907,0.078151058175,0.3560048752499999,120,30,0.24539123967215604
lapse,0.2151952207741,0.039629520375000005,0.46117874124999997,120,30,0.14352853304278174
p_win,0.59046345897,0.44173181699999997,0.7492306175,120,31,0.5757584968313065
p_loss,0.19533734997,0.0657888097,0.33117115124999996,120,31,0.1024720497884428
lapse,0.2075954555627,0.032375321400000004,0.43947678725,120,31,0.2378741884605238
p_win,0.87043797382,0.7779401217499999,0.9608215099999999,120,32,0.869196819017006
p_loss,0.09651985515,0.020733570700000006,0.189106384,120,32,0.1432714422898697
lapse,0.1230483016338,0.0256245889,0.26943949199999995,120,32,0.09862868083132896
p_win,0.91776849398,0.8266843555,0.9849127160000001,120,33,0.9037290044874493
p_loss,0.26202272347,0.150934774,0.3869581855,120,33,0.30475575234335467
lapse,0.1289347560845,0.024653133125000004,0.29953491149999995,120,33,0.13992801626607454
p_win,0.86374485114,0.7467538284999999,0.96362966375,120,34,0.8103425801121245
p_loss,0.4581716774,0.31340612275,0.59893921425,120,34,0.48715372062371265
lapse,0.1721465287291,0.027036084850000003,0.3854365657499999,120,34,0.3197822511564222
p_win,0.84584707511,0.7294004872500001,0.9546649512500001,120,35,0.7988363338332516
p_loss,0.205263905409,0.07510335625,0.3343194815,120,35,0.18109538415769738
lapse,0.1769280039608,0.034721911900000006,0.37466366925,120,35,0.08035609690055848
p_win,0.74081968485,0.57636923575,0.89134123375,120,36,0.7360893376321406
p_loss,0.319225021432,0.16805981275,0.46093611999999995,120,36,0.29923653466028366
lapse,0.24103037460249999,0.0352964957,0.51997775,120,36,0.05329189340085308
p_win,0.75523918423,0.6133517439999999,0.910583709,120,37,0.646322139761402
p_loss,0.177463442825,0.05560388040000001,0.3095713367499999,120,37,0.10017879655547628
lapse,0.2051424255592,0.0289995413,0.45147406425000003,120,37,0.11144150707180314
p_win,0.82967723194,0.7080088042500001,0.94280041725,120,38,0.827852728571709
p_loss,0.1173361880272,0.025135835949999998,0.22542639974999995,120,38,0.17235791627384162
lapse,0.1477152388801,0.027833176725,0.31851715224999994,120,38,0.23570333620724693
p_win,0.94093582656,0.8628475910000001,0.99118253,120,39,0.9851130862075497
p_loss,0.188121316916,0.07907928774999999,0.31257411474999997,120,39,0.19724624591794213
lapse,0.103496337198,0.0144927897,0.23311317899999998,120,39,0.07126596806451613
p_win,0.89147709936,0.7907795074999999,0.97521906225,120,40,0.8564005019170345
p_loss,0.28690885627,0.15021899875000003,0.43614141925,120,40,0.3278490612921988
lapse,0.1625409242563,0.030261002725000003,0.34207539424999994,120,40,0.11750497605707914
p_win,0.87124320392,0.7752137524999999,0.9648791685,240,1,0.9012047359869673
p_loss,0.208070883692,0.09913385487500001,0.313205146,240,1,0.21431996307307735
lapse,0.1795977702897,0.030416253275,0.35840760850000003,240,1,0.17192256831231414
p_win,0.89840467966,0.8150281072500001,0.98076794275,240,2,0.9332744292541575
p_loss,0.31987192966,0.21459522675,0.43311624249999997,240,2,0.28164830827319665
lapse,0.1582612034566,0.03293846065000001,0.32920231349999995,240,2,0.23510720386829775
p_win,0.84593664471,0.74433581525,0.955313771,240,3,0.8624782109664733
p_loss,0.205739828801,0.08841755515,0.326331296,240,3,0.21671816916797826
lapse,0.1959412787208,0.035530201775,0.3892764322499999,240,3,0.1643999564441287
p_win,0.84568008567,0.74534855775,0.9455437735000001,240,4,0.8170527757306363
p_loss,0.131280391261,0.036555203575,0.22790959949999998,240,4,0.1297009385117547
lapse,0.1694204928862,0.018165128,0.347254843,240,4,0.09452807650559572
p_win,0.84403153707,0.74471288,0.958777551,240,5,0.8310007093582257
p_loss,0.21168370025,0.07985458025,0.32233907425,240,5,0.1599953488245442
lapse,0.1906957275111,0.03093725115,0.403262612,240,5,0.23943841789651937
p_win,0.7861790329,0.69565502525,0.9037680785000001,240,6,0.9317382796465841
p_loss,0.122756727537,0.030208030275,0.212240832,240,6,0.0380118109603895
lapse,0.1652280273663,0.025798434475,0.3476742689999999,240,6,0.34418672612966084
p_win,0.48073641938,0.38387574025,0.5908378074999999,240,7,0.4895408082577304
p_loss,0.189793832902,0.066292486,0.29262442424999996,240,7,0.3098714897500388
lapse,0.1910529527848,0.033782530525,0.4179412632499999,240,7,0.1444048142810546
