pairing,opponent,strategy,position,sim_id,payoff_total,payoff_matcher,payoff_mismatcher,role_advantage,winrate,n_win_first,rep_win_first,n_loss_first,rep_loss_first,n_win_second,rep_win_second,n_loss_second,rep_loss_second
WSLS vs WSLS,WSLS,WSLS,B,97,-4,-10,6,-16,0.48,28,16,22,10,19,9,30,15
WSLS vs WSLS,WSLS,WSLS,A,98,-8,-6,-2,-4,0.46,22,11,28,19,23,16,26,15
WSLS vs WSLS,WSLS,WSLS,B,98,8,2,6,-4,0.54,28,19,22,6,26,13,23,13
WSLS vs WSLS,WSLS,WSLS,A,99,2,0,2,-2,0.51,25,15,25,16,26,12,23,13
WSLS vs WSLS,WSLS,WSLS,B,99,-2,-2,-0,-2,0.49,25,13,25,15,23,15,26,13
WSLS vs WSLS,WSLS,WSLS,A,100,-4,0,-4,4,0.48,25,12,25,8,22,14,27,15
WSLS vs WSLS,WSLS,WSLS,B,100,4,4,-0,4,0.52,25,12,25,16,27,16,22,10
WSLS vs WSLS,WSLS,WSLS,A,101,-12,-4,-8,4,0.44,23,5,27,17,20,9,29,16
WSLS vs WSLS,WSLS,WSLS,B,101,12,8,4,4,0.56,27,20,23,12,29,20,20,8
WSLS vs WSLS,WSLS,WSLS,A,102,2,4,-2,6,0.51,27,17,23,14,23,14,26,13
WSLS vs WSLS,WSLS,WSLS,B,102,-2,2,-4,6,0.49,23,14,27,18,26,11,23,14
WSLS vs WSLS,WSLS,WSLS,A,103,-4,-4,0,-4,0.48,23,15,27,13,24,14,25,11
WSLS vs WSLS,WSLS,WSLS,B,103,4,-0,4,-4,0.52,27,11,23,16,25,14,24,12
WSLS vs WSLS,WSLS,WSLS,A,104,12,8,4,4,0.56,29,17,21,11,26,16,23,12
WSLS vs WSLS,WSLS,WSLS,B,104,-12,-4,-8,4,0.43999999999999995,21,13,29,15,23,15,26,13
WSLS vs WSLS,WSLS,WSLS,A,105,14,-2,16,-18,0.57,24,11,26,13,32,17,17,11
WSLS vs WSLS,WSLS,WSLS,B,105,-14,-16,2,-18,0.43000000000000005,26,14,24,14,17,7,32,17
WSLS vs WSLS,WSLS,WSLS,A,106,-8,0,-8,8,0.46,25,11,25,17,21,8,28,16
WSLS vs WSLS,WSLS,WSLS,B,106,8,8,-0,8,0.54,25,16,25,13,28,13,21,15
WSLS vs WSLS,WSLS,WSLS,A,107,-2,-2,0,-2,0.49,24,17,26,15,25,15,24,11
WSLS vs WSLS,WSLS,WSLS,B,107,2,-0,2,-2,0.51,26,17,24,15,24,13,25,15
WSLS vs WSLS,WSLS,WSLS,A,108,4,0,4,-4,0.52,25,14,25,14,27,16,22,11
WSLS vs WSLS,WSLS,WSLS,B,108,-4,-4,-0,-4,0.48,25,15,25,13,22,10,27,14
