pairing,A,B,sim_id,total_payoff_A,payoff_first_A,payoff_second_A,swing_A,winrate_A
WSLS vs kToM,WSLS,kToM,556,-12,-12,0,12,0.44
WSLS vs kToM,WSLS,kToM,557,-28,-24,-4,20,0.36
WSLS vs kToM,WSLS,kToM,558,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,559,-24,-12,-12,0,0.38
WSLS vs kToM,WSLS,kToM,560,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,561,-8,-10,2,12,0.46
WSLS vs kToM,WSLS,kToM,562,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,563,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,564,-12,2,-14,-16,0.44
WSLS vs kToM,WSLS,kToM,565,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,566,-16,0,-16,-16,0.42
WSLS vs kToM,WSLS,kToM,567,8,4,4,0,0.54
WSLS vs kToM,WSLS,kToM,568,0,-2,2,4,0.5
WSLS vs kToM,WSLS,kToM,569,20,10,10,0,0.6
WSLS vs kToM,WSLS,kToM,570,-2,4,-6,-10,0.49
WSLS vs kToM,WSLS,kToM,571,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,572,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,573,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,574,8,8,0,-8,0.54
WSLS vs kToM,WSLS,kToM,575,-2,2,-4,-6,0.49
WSLS vs kToM,WSLS,kToM,576,-22,-12,-10,2,0.39
WSLS vs kToM,WSLS,kToM,577,-2,-4,2,6,0.49
WSLS vs kToM,WSLS,kToM,578,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,579,0,6,-6,-12,0.5
WSLS vs kToM,WSLS,kToM,580,-18,-6,-12,-6,0.41
WSLS vs kToM,WSLS,kToM,581,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,582,-24,-20,-4,16,0.38
WSLS vs kToM,WSLS,kToM,583,12,10,2,-8,0.56
WSLS vs kToM,WSLS,kToM,584,2,0,2,2,0.51
WSLS vs kToM,WSLS,kToM,585,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,586,-12,0,-12,-12,0.44
WSLS vs kToM,WSLS,kToM,587,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,588,0,-6,6,12,0.5
WSLS vs kToM,WSLS,kToM,589,-8,-2,-6,-4,0.46
WSLS vs kToM,WSLS,kToM,590,-14,-10,-4,6,0.43
WSLS vs kToM,WSLS,kToM,591,4,2,2,0,0.52
WSLS vs kToM,WSLS,kToM,592,-10,-2,-8,-6,0.45
WSLS vs kToM,WSLS,kToM,593,-16,-4,-12,-8,0.42
WSLS vs kToM,WSLS,kToM,594,-10,-6,-4,2,0.45
WSLS vs kToM,WSLS,kToM,595,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,596,-10,-12,2,14,0.45
WSLS vs kToM,WSLS,kToM,597,-8,-12,4,16,0.46
WSLS vs kToM,WSLS,kToM,598,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,599,-12,-6,-6,0,0.44
WSLS vs kToM,WSLS,kToM,600,-4,-10,6,16,0.48
kToM vs WSLS,kToM,WSLS,1,6,12,-6,-18,0.53
kToM vs WSLS,kToM,WSLS,2,-2,8,-10,-18,0.49
kToM vs WSLS,kToM,WSLS,3,10,6,4,-2,0.55
kToM vs WSLS,kToM,WSLS,4,24,22,2,-20,0.62
kToM vs WSLS,kToM,WSLS,5,10,4,6,2,0.55
kToM vs WSLS,kToM,WSLS,6,4,6,-2,-8,0.52
kToM vs WSLS,kToM,WSLS,7,16,12,4,-8,0.58
kToM vs WSLS,kToM,WSLS,8,4,8,-4,-12,0.52
kToM vs WSLS,kToM,WSLS,9,4,2,2,0,0.52
kToM vs WSLS,kToM,WSLS,10,2,2,0,-2,0.51
kToM vs WSLS,kToM,WSLS,11,18,14,4,-10,0.59
kToM vs WSLS,kToM,WSLS,12,0,-8,8,16,0.5
kToM vs WSLS,kToM,WSLS,13,12,6,6,0,0.56
kToM vs WSLS,kToM,WSLS,14,30,12,18,6,0.65
kToM vs WSLS,kToM,WSLS,15,0,-2,2,4,0.5
kToM vs WSLS,kToM,WSLS,16,0,0,0,0,0.5
kToM vs WSLS,kToM,WSLS,17,4,-4,8,12,0.52
kToM vs WSLS,kToM,WSLS,18,16,8,8,0,0.58
kToM vs WSLS,kToM,WSLS,19,28,18,10,-8,0.64
kToM vs WSLS,kToM,WSLS,20,-8,2,-10,-12,0.46
kToM vs WSLS,kToM,WSLS,21,10,4,6,2,0.55
kToM vs WSLS,kToM,WSLS,22,18,14,4,-10,0.59
kToM vs WSLS,kToM,WSLS,23,-2,0,-2,-2,0.49
kToM vs WSLS,kToM,WSLS,24,10,10,0,-10,0.55
kToM vs WSLS,kToM,WSLS,25,10,10,0,-10,0.55
kToM vs WSLS,kToM,WSLS,26,6,8,-2,-10,0.53
kToM vs WSLS,kToM,WSLS,27,-4,-2,-2,0,0.48
kToM vs WSLS,kToM,WSLS,28,-6,0,-6,-6,0.47
kToM vs WSLS,kToM,WSLS,29,20,6,14,8,0.6
kToM vs WSLS,kToM,WSLS,30,10,8,2,-6,0.55
kToM vs WSLS,kToM,WSLS,31,8,-4,12,16,0.54
kToM vs WSLS,kToM,WSLS,32,4,-10,14,24,0.52
kToM vs WSLS,kToM,WSLS,33,6,0,6,6,0.53
kToM vs WSLS,kToM,WSLS,34,2,12,-10,-22,0.51
kToM vs WSLS,kToM,WSLS,35,-18,0,-18,-18,0.41
kToM vs WSLS,kToM,WSLS,36,-4,-2,-2,0,0.48
kToM vs WSLS,kToM,WSLS,37,-2,-4,2,6,0.49
kToM vs WSLS,kToM,WSLS,38,-2,-6,4,10,0.49
kToM vs WSLS,kToM,WSLS,39,-4,-2,-2,0,0.48
kToM vs WSLS,kToM,WSLS,40,16,16,0,-16,0.58
kToM vs WSLS,kToM,WSLS,41,16,2,14,12,0.58
kToM vs WSLS,kToM,WSLS,42,8,14,-6,-20,0.54
kToM vs WSLS,kToM,WSLS,43,20,10,10,0,0.6
kToM vs WSLS,kToM,WSLS,44,6,8,-2,-10,0.53
kToM vs WSLS,kToM,WSLS,45,8,2,6,4,0.54
kToM vs WSLS,kToM,WSLS,46,-2,0,-2,-2,0.49
kToM vs WSLS,kToM,WSLS,47,12,4,8,4,0.56
kToM vs WSLS,kToM,WSLS,48,8,4,4,0,0.54
kToM vs WSLS,kToM,WSLS,49,12,-6,18,24,0.56
kToM vs WSLS,kToM,WSLS,50,2,12,-10,-22,0.51
kToM vs WSLS,kToM,WSLS,51,-2,-6,4,10,0.49
kToM vs WSLS,kToM,WSLS,52,2,-2,4,6,0.51
kToM vs WSLS,kToM,WSLS,53,10,8,2,-6,0.55
kToM vs WSLS,kToM,WSLS,54,2,8,-6,-14,0.51
kToM vs WSLS,kToM,WSLS,55,4,6,-2,-8,0.52
kToM vs WSLS,kToM,WSLS,56,20,2,18,16,0.6
kToM vs WSLS,kToM,WSLS,57,-8,-12,4,16,0.46
kToM vs WSLS,kToM,WSLS,58,-2,0,-2,-2,0.49
kToM vs WSLS,kToM,WSLS,59,6,2,4,2,0.53
kToM vs WSLS,kToM,WSLS,60,10,6,4,-2,0.55
kToM vs WSLS,kToM,WSLS,61,-8,-8,0,8,0.46
kToM vs WSLS,kToM,WSLS,62,12,6,6,0,0.56
kToM vs WSLS,kToM,WSLS,63,14,8,6,-2,0.57
kToM vs WSLS,kToM,WSLS,64,14,0,14,14,0.57
kToM vs WSLS,kToM,WSLS,65,2,2,0,-2,0.51
kToM vs WSLS,kToM,WSLS,66,20,16,4,-12,0.6
kToM vs WSLS,kToM,WSLS,67,18,12,6,-6,0.59
kToM vs WSLS,kToM,WSLS,68,14,12,2,-10,0.57
kToM vs WSLS,kToM,WSLS,69,-10,-12,2,14,0.45
kToM vs WSLS,kToM,WSLS,70,20,8,12,4,0.6
kToM vs WSLS,kToM,WSLS,71,0,-2,2,4,0.5
kToM vs WSLS,kToM,WSLS,72,2,-2,4,6,0.51
kToM vs WSLS,kToM,WSLS,73,20,14,6,-8,0.6
kToM vs WSLS,kToM,WSLS,74,0,-6,6,12,0.5
kToM vs WSLS,kToM,WSLS,75,8,6,2,-4,0.54
kToM vs WSLS,kToM,WSLS,76,6,8,-2,-10,0.53
kToM vs WSLS,kToM,WSLS,77,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,78,-2,-6,4,10,0.49
kToM vs WSLS,kToM,WSLS,79,18,14,4,-10,0.59
kToM vs WSLS,kToM,WSLS,80,2,2,0,-2,0.51
kToM vs WSLS,kToM,WSLS,81,6,6,0,-6,0.53
kToM vs WSLS,kToM,WSLS,82,4,6,-2,-8,0.52
kToM vs WSLS,kToM,WSLS,83,10,2,8,6,0.55
kToM vs WSLS,kToM,WSLS,84,24,14,10,-4,0.62
kToM vs WSLS,kToM,WSLS,85,-12,0,-12,-12,0.44
kToM vs WSLS,kToM,WSLS,86,6,-2,8,10,0.53
kToM vs WSLS,kToM,WSLS,87,14,16,-2,-18,0.57
kToM vs WSLS,kToM,WSLS,88,18,4,14,10,0.59
kToM vs WSLS,kToM,WSLS,89,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,90,4,-4,8,12,0.52
kToM vs WSLS,kToM,WSLS,91,10,12,-2,-14,0.55
kToM vs WSLS,kToM,WSLS,92,4,-4,8,12,0.52
kToM vs WSLS,kToM,WSLS,93,-16,-14,-2,12,0.42
kToM vs WSLS,kToM,WSLS,94,20,12,8,-4,0.6
kToM vs WSLS,kToM,WSLS,95,-2,-6,4,10,0.49
kToM vs WSLS,kToM,WSLS,96,6,12,-6,-18,0.53
kToM vs WSLS,kToM,WSLS,97,6,-2,8,10,0.53
kToM vs WSLS,kToM,WSLS,98,0,0,0,0,0.5
kToM vs WSLS,kToM,WSLS,99,4,6,-2,-8,0.52
kToM vs WSLS,kToM,WSLS,100,18,8,10,2,0.59
kToM vs WSLS,kToM,WSLS,101,10,2,8,6,0.55
kToM vs WSLS,kToM,WSLS,102,-6,-4,-2,2,0.47
kToM vs WSLS,kToM,WSLS,103,20,8,12,4,0.6
kToM vs WSLS,kToM,WSLS,104,10,4,6,2,0.55
kToM vs WSLS,kToM,WSLS,105,8,4,4,0,0.54
kToM vs WSLS,kToM,WSLS,106,10,-2,12,14,0.55
kToM vs WSLS,kToM,WSLS,107,8,8,0,-8,0.54
kToM vs WSLS,kToM,WSLS,108,10,10,0,-10,0.55
kToM vs WSLS,kToM,WSLS,109,4,6,-2,-8,0.52
kToM vs WSLS,kToM,WSLS,110,10,-4,14,18,0.55
kToM vs WSLS,kToM,WSLS,111,0,-6,6,12,0.5
kToM vs WSLS,kToM,WSLS,112,12,6,6,0,0.56
kToM vs WSLS,kToM,WSLS,113,-2,-4,2,6,0.49
kToM vs WSLS,kToM,WSLS,114,0,-8,8,16,0.5
kToM vs WSLS,kToM,WSLS,115,4,-14,18,32,0.52
kToM vs WSLS,kToM,WSLS,116,4,4,0,-4,0.52
kToM vs WSLS,kToM,WSLS,117,24,14,10,-4,0.62
kToM vs WSLS,kToM,WSLS,118,-6,-8,2,10,0.47
kToM vs WSLS,kToM,WSLS,119,2,-2,4,6,0.51
kToM vs WSLS,kToM,WSLS,120,22,10,12,2,0.61
kToM vs WSLS,kToM,WSLS,121,-2,-6,4,10,0.49
kToM vs WSLS,kToM,WSLS,122,12,4,8,4,0.56
kToM vs WSLS,kToM,WSLS,123,4,14,-10,-24,0.52
kToM vs WSLS,kToM,WSLS,124,10,2,8,6,0.55
kToM vs WSLS,kToM,WSLS,125,0,-4,4,8,0.5
kToM vs WSLS,kToM,WSLS,126,0,2,-2,-4,0.5
kToM vs WSLS,kToM,WSLS,127,-14,2,-16,-18,0.43
kToM vs WSLS,kToM,WSLS,128,12,8,4,-4,0.56
kToM vs WSLS,kToM,WSLS,129,10,6,4,-2,0.55
kToM vs WSLS,kToM,WSLS,130,6,4,2,-2,0.53
kToM vs WSLS,kToM,WSLS,131,12,-6,18,24,0.56
kToM vs WSLS,kToM,WSLS,132,6,0,6,6,0.53
kToM vs WSLS,kToM,WSLS,133,8,6,2,-4,0.54
kToM vs WSLS,kToM,WSLS,134,6,4,2,-2,0.53
kToM vs WSLS,kToM,WSLS,135,12,0,12,12,0.56
kToM vs WSLS,kToM,WSLS,136,12,6,6,0,0.56
kToM vs WSLS,kToM,WSLS,137,14,12,2,-10,0.57
kToM vs WSLS,kToM,WSLS,138,10,8,2,-6,0.55
kToM vs WSLS,kToM,WSLS,139,30,14,16,2,0.65
kToM vs WSLS,kToM,WSLS,140,22,14,8,-6,0.61
kToM vs WSLS,kToM,WSLS,141,-4,-2,-2,0,0.48
kToM vs WSLS,kToM,WSLS,142,-2,-6,4,10,0.49
kToM vs WSLS,kToM,WSLS,143,4,14,-10,-24,0.52
kToM vs WSLS,kToM,WSLS,144,-8,-2,-6,-4,0.46
kToM vs WSLS,kToM,WSLS,145,-2,10,-12,-22,0.49
kToM vs WSLS,kToM,WSLS,146,8,4,4,0,0.54
kToM vs WSLS,kToM,WSLS,147,14,0,14,14,0.57
kToM vs WSLS,kToM,WSLS,148,-2,6,-8,-14,0.49
kToM vs WSLS,kToM,WSLS,149,6,-4,10,14,0.53
kToM vs WSLS,kToM,WSLS,150,6,6,0,-6,0.53
kToM vs WSLS,kToM,WSLS,151,-2,0,-2,-2,0.49
kToM vs WSLS,kToM,WSLS,152,-4,-4,0,4,0.48
kToM vs WSLS,kToM,WSLS,153,-2,-4,2,6,0.49
kToM vs WSLS,kToM,WSLS,154,4,12,-8,-20,0.52
kToM vs WSLS,kToM,WSLS,155,6,6,0,-6,0.53
kToM vs WSLS,kToM,WSLS,156,6,14,-8,-22,0.53
kToM vs WSLS,kToM,WSLS,157,14,6,8,2,0.57
kToM vs WSLS,kToM,WSLS,158,6,0,6,6,0.53
kToM vs WSLS,kToM,WSLS,159,-4,0,-4,-4,0.48
kToM vs WSLS,kToM,WSLS,160,8,10,-2,-12,0.54
kToM vs WSLS,kToM,WSLS,161,2,4,-2,-6,0.51
kToM vs WSLS,kToM,WSLS,162,20,4,16,12,0.6
kToM vs WSLS,kToM,WSLS,163,20,6,14,8,0.6
kToM vs WSLS,kToM,WSLS,164,0,-4,4,8,0.5
kToM vs WSLS,kToM,WSLS,165,0,-4,4,8,0.5
kToM vs WSLS,kToM,WSLS,166,8,10,-2,-12,0.54
kToM vs WSLS,kToM,WSLS,167,8,-4,12,16,0.54
kToM vs WSLS,kToM,WSLS,168,22,0,22,22,0.61
kToM vs WSLS,kToM,WSLS,169,4,6,-2,-8,0.52
kToM vs WSLS,kToM,WSLS,170,6,6,0,-6,0.53
kToM vs WSLS,kToM,WSLS,171,4,-4,8,12,0.52
kToM vs WSLS,kToM,WSLS,172,6,6,0,-6,0.53
kToM vs WSLS,kToM,WSLS,173,0,-4,4,8,0.5
kToM vs WSLS,kToM,WSLS,174,-6,-10,4,14,0.47
kToM vs WSLS,kToM,WSLS,175,14,0,14,14,0.57
kToM vs WSLS,kToM,WSLS,176,6,10,-4,-14,0.53
kToM vs WSLS,kToM,WSLS,177,16,2,14,12,0.58
kToM vs WSLS,kToM,WSLS,178,2,-6,8,14,0.51
kToM vs WSLS,kToM,WSLS,179,-6,6,-12,-18,0.47
kToM vs WSLS,kToM,WSLS,180,2,6,-4,-10,0.51
kToM vs WSLS,kToM,WSLS,181,18,8,10,2,0.59
kToM vs WSLS,kToM,WSLS,182,0,-2,2,4,0.5
kToM vs WSLS,kToM,WSLS,183,4,4,0,-4,0.52
kToM vs WSLS,kToM,WSLS,184,8,0,8,8,0.54
kToM vs WSLS,kToM,WSLS,185,6,10,-4,-14,0.53
kToM vs WSLS,kToM,WSLS,186,26,16,10,-6,0.63
kToM vs WSLS,kToM,WSLS,187,18,2,16,14,0.59
kToM vs WSLS,kToM,WSLS,188,16,12,4,-8,0.58
kToM vs WSLS,kToM,WSLS,189,0,2,-2,-4,0.5
kToM vs WSLS,kToM,WSLS,190,-4,0,-4,-4,0.48
kToM vs WSLS,kToM,WSLS,191,-10,-4,-6,-2,0.45
kToM vs WSLS,kToM,WSLS,192,14,2,12,10,0.57
kToM vs WSLS,kToM,WSLS,193,10,4,6,2,0.55
kToM vs WSLS,kToM,WSLS,194,16,12,4,-8,0.58
kToM vs WSLS,kToM,WSLS,195,2,2,0,-2,0.51
kToM vs WSLS,kToM,WSLS,196,8,-2,10,12,0.54
kToM vs WSLS,kToM,WSLS,197,22,14,8,-6,0.61
kToM vs WSLS,kToM,WSLS,198,4,6,-2,-8,0.52
kToM vs WSLS,kToM,WSLS,199,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,200,2,8,-6,-14,0.51
kToM vs WSLS,kToM,WSLS,201,-6,-4,-2,2,0.47
kToM vs WSLS,kToM,WSLS,202,0,-2,2,4,0.5
kToM vs WSLS,kToM,WSLS,203,8,-2,10,12,0.54
kToM vs WSLS,kToM,WSLS,204,-6,2,-8,-10,0.47
kToM vs WSLS,kToM,WSLS,205,-2,2,-4,-6,0.49
kToM vs WSLS,kToM,WSLS,206,4,4,0,-4,0.52
kToM vs WSLS,kToM,WSLS,207,2,6,-4,-10,0.51
kToM vs WSLS,kToM,WSLS,208,10,6,4,-2,0.55
kToM vs WSLS,kToM,WSLS,209,14,8,6,-2,0.57
kToM vs WSLS,kToM,WSLS,210,-12,6,-18,-24,0.44
kToM vs WSLS,kToM,WSLS,211,10,8,2,-6,0.55
kToM vs WSLS,kToM,WSLS,212,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,213,8,0,8,8,0.54
kToM vs WSLS,kToM,WSLS,214,-2,6,-8,-14,0.49
kToM vs WSLS,kToM,WSLS,215,14,6,8,2,0.57
kToM vs WSLS,kToM,WSLS,216,14,-2,16,18,0.57
kToM vs WSLS,kToM,WSLS,217,-4,-10,6,16,0.48
kToM vs WSLS,kToM,WSLS,218,26,16,10,-6,0.63
kToM vs WSLS,kToM,WSLS,219,6,4,2,-2,0.53
kToM vs WSLS,kToM,WSLS,220,16,0,16,16,0.58
kToM vs WSLS,kToM,WSLS,221,-6,0,-6,-6,0.47
kToM vs WSLS,kToM,WSLS,222,0,-4,4,8,0.5
kToM vs WSLS,kToM,WSLS,223,14,2,12,10,0.57
kToM vs WSLS,kToM,WSLS,224,-4,0,-4,-4,0.48
kToM vs WSLS,kToM,WSLS,225,12,-2,14,16,0.56
kToM vs WSLS,kToM,WSLS,226,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,227,4,-4,8,12,0.52
kToM vs WSLS,kToM,WSLS,228,-2,2,-4,-6,0.49
kToM vs WSLS,kToM,WSLS,229,-20,-14,-6,8,0.4
kToM vs WSLS,kToM,WSLS,230,16,8,8,0,0.58
kToM vs WSLS,kToM,WSLS,231,0,0,0,0,0.5
kToM vs WSLS,kToM,WSLS,232,2,6,-4,-10,0.51
kToM vs WSLS,kToM,WSLS,233,4,2,2,0,0.52
kToM vs WSLS,kToM,WSLS,234,6,0,6,6,0.53
kToM vs WSLS,kToM,WSLS,235,8,-4,12,16,0.54
kToM vs WSLS,kToM,WSLS,236,-12,-6,-6,0,0.44
kToM vs WSLS,kToM,WSLS,237,6,2,4,2,0.53
kToM vs WSLS,kToM,WSLS,238,-2,4,-6,-10,0.49
kToM vs WSLS,kToM,WSLS,239,20,10,10,0,0.6
kToM vs WSLS,kToM,WSLS,240,-2,-4,2,6,0.49
kToM vs WSLS,kToM,WSLS,241,8,4,4,0,0.54
kToM vs WSLS,kToM,WSLS,242,6,12,-6,-18,0.53
kToM vs WSLS,kToM,WSLS,243,12,4,8,4,0.56
kToM vs WSLS,kToM,WSLS,244,8,2,6,4,0.54
kToM vs WSLS,kToM,WSLS,245,-12,-18,6,24,0.44
kToM vs WSLS,kToM,WSLS,246,4,2,2,0,0.52
kToM vs WSLS,kToM,WSLS,247,0,2,-2,-4,0.5
kToM vs WSLS,kToM,WSLS,248,20,6,14,8,0.6
kToM vs WSLS,kToM,WSLS,249,-4,6,-10,-16,0.48
kToM vs WSLS,kToM,WSLS,250,18,20,-2,-22,0.59
kToM vs WSLS,kToM,WSLS,251,2,-4,6,10,0.51
kToM vs WSLS,kToM,WSLS,252,2,8,-6,-14,0.51
kToM vs WSLS,kToM,WSLS,253,-10,-8,-2,6,0.45
kToM vs WSLS,kToM,WSLS,254,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,255,8,-2,10,12,0.54
kToM vs WSLS,kToM,WSLS,256,4,-6,10,16,0.52
kToM vs WSLS,kToM,WSLS,257,0,2,-2,-4,0.5
kToM vs WSLS,kToM,WSLS,258,0,-4,4,8,0.5
kToM vs WSLS,kToM,WSLS,259,2,8,-6,-14,0.51
kToM vs WSLS,kToM,WSLS,260,18,10,8,-2,0.59
kToM vs WSLS,kToM,WSLS,261,6,2,4,2,0.53
kToM vs WSLS,kToM,WSLS,262,0,6,-6,-12,0.5
kToM vs WSLS,kToM,WSLS,263,10,4,6,2,0.55
kToM vs WSLS,kToM,WSLS,264,-12,-6,-6,0,0.44
kToM vs WSLS,kToM,WSLS,265,12,2,10,8,0.56
kToM vs WSLS,kToM,WSLS,266,4,2,2,0,0.52
kToM vs WSLS,kToM,WSLS,267,18,6,12,6,0.59
kToM vs WSLS,kToM,WSLS,268,20,10,10,0,0.6
kToM vs WSLS,kToM,WSLS,269,0,2,-2,-4,0.5
kToM vs WSLS,kToM,WSLS,270,0,6,-6,-12,0.5
kToM vs WSLS,kToM,WSLS,271,12,0,12,12,0.56
kToM vs WSLS,kToM,WSLS,272,-18,-6,-12,-6,0.41
kToM vs WSLS,kToM,WSLS,273,10,0,10,10,0.55
kToM vs WSLS,kToM,WSLS,274,-8,-2,-6,-4,0.46
kToM vs WSLS,kToM,WSLS,275,12,2,10,8,0.56
kToM vs WSLS,kToM,WSLS,276,-14,-4,-10,-6,0.43
kToM vs WSLS,kToM,WSLS,277,-4,-10,6,16,0.48
kToM vs WSLS,kToM,WSLS,278,12,6,6,0,0.56
kToM vs WSLS,kToM,WSLS,279,-8,-8,0,8,0.46
kToM vs WSLS,kToM,WSLS,280,-8,6,-14,-20,0.46
kToM vs WSLS,kToM,WSLS,281,20,4,16,12,0.6
kToM vs WSLS,kToM,WSLS,282,0,2,-2,-4,0.5
kToM vs WSLS,kToM,WSLS,283,8,0,8,8,0.54
kToM vs WSLS,kToM,WSLS,284,0,-2,2,4,0.5
kToM vs WSLS,kToM,WSLS,285,4,-2,6,8,0.52
kToM vs WSLS,kToM,WSLS,286,-2,-2,0,2,0.49
kToM vs WSLS,kToM,WSLS,287,0,2,-2,-4,0.5
kToM vs WSLS,kToM,WSLS,288,20,6,14,8,0.6
kToM vs WSLS,kToM,WSLS,289,20,8,12,4,0.6
kToM vs WSLS,kToM,WSLS,290,0,10,-10,-20,0.5
kToM vs WSLS,kToM,WSLS,291,14,10,4,-6,0.57
kToM vs WSLS,kToM,WSLS,292,-10,-20,10,30,0.45
kToM vs WSLS,kToM,WSLS,293,14,2,12,10,0.57
kToM vs WSLS,kToM,WSLS,294,2,4,-2,-6,0.51
kToM vs WSLS,kToM,WSLS,295,22,12,10,-2,0.61
kToM vs WSLS,kToM,WSLS,296,18,8,10,2,0.59
kToM vs WSLS,kToM,WSLS,297,2,-6,8,14,0.51
kToM vs WSLS,kToM,WSLS,298,4,2,2,0,0.52
kToM vs WSLS,kToM,WSLS,299,4,-6,10,16,0.52
kToM vs WSLS,kToM,WSLS,300,12,4,8,4,0.56
kToM vs WSLS,kToM,WSLS,301,-10,-14,4,18,0.45
kToM vs WSLS,kToM,WSLS,302,8,10,-2,-12,0.54
kToM vs WSLS,kToM,WSLS,303,2,6,-4,-10,0.51
kToM vs WSLS,kToM,WSLS,304,2,0,2,2,0.51
kToM vs WSLS,kToM,WSLS,305,0,6,-6,-12,0.5
kToM vs WSLS,kToM,WSLS,306,2,2,0,-2,0.51
kToM vs WSLS,kToM,WSLS,307,8,6,2,-4,0.54
kToM vs WSLS,kToM,WSLS,308,8,2,6,4,0.54
kToM vs WSLS,kToM,WSLS,309,18,8,10,2,0.59
kToM vs WSLS,kToM,WSLS,310,14,6,8,2,0.57
kToM vs WSLS,kToM,WSLS,311,10,10,0,-10,0.55
kToM vs WSLS,kToM,WSLS,312,12,8,4,-4,0.56
kToM vs WSLS,kToM,WSLS,313,6,6,0,-6,0.53
kToM vs WSLS,kToM,WSLS,314,8,8,0,-8,0.54
kToM vs WSLS,kToM,WSLS,315,14,6,8,2,0.57
kToM vs WSLS,kToM,WSLS,316,14,10,4,-6,0.57
kToM vs WSLS,kToM,WSLS,317,30,22,8,-14,0.65
kToM vs WSLS,kToM,WSLS,318,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,319,4,-2,6,8,0.52
kToM vs WSLS,kToM,WSLS,320,24,14,10,-4,0.62
kToM vs WSLS,kToM,WSLS,321,16,4,12,8,0.58
kToM vs WSLS,kToM,WSLS,322,-16,-10,-6,4,0.42
kToM vs WSLS,kToM,WSLS,323,-10,0,-10,-10,0.45
kToM vs WSLS,kToM,WSLS,324,30,14,16,2,0.65
kToM vs WSLS,kToM,WSLS,325,10,12,-2,-14,0.55
kToM vs WSLS,kToM,WSLS,326,12,12,0,-12,0.56
kToM vs WSLS,kToM,WSLS,327,8,-2,10,12,0.54
kToM vs WSLS,kToM,WSLS,328,4,0,4,4,0.52
kToM vs WSLS,kToM,WSLS,329,-6,-6,0,6,0.47
kToM vs WSLS,kToM,WSLS,330,-10,2,-12,-14,0.45
kToM vs WSLS,kToM,WSLS,331,20,14,6,-8,0.6
kToM vs WSLS,kToM,WSLS,332,8,-4,12,16,0.54
kToM vs WSLS,kToM,WSLS,333,14,2,12,10,0.57
kToM vs WSLS,kToM,WSLS,334,14,12,2,-10,0.57
kToM vs WSLS,kToM,WSLS,335,10,4,6,2,0.55
kToM vs WSLS,kToM,WSLS,336,-2,-6,4,10,0.49
kToM vs WSLS,kToM,WSLS,337,6,4,2,-2,0.53
kToM vs WSLS,kToM,WSLS,338,4,4,0,-4,0.52
kToM vs WSLS,kToM,WSLS,339,12,4,8,4,0.56
kToM vs WSLS,kToM,WSLS,340,-2,0,-2,-2,0.49
kToM vs WSLS,kToM,WSLS,341,16,4,12,8,0.58
kToM vs WSLS,kToM,WSLS,342,6,0,6,6,0.53
kToM vs WSLS,kToM,WSLS,343,20,6,14,8,0.6
kToM vs WSLS,kToM,WSLS,344,-2,-4,2,6,0.49
kToM vs WSLS,kToM,WSLS,345,4,2,2,0,0.52
kToM vs WSLS,kToM,WSLS,346,0,4,-4,-8,0.5
kToM vs WSLS,kToM,WSLS,347,22,12,10,-2,0.61
kToM vs WSLS,kToM,WSLS,348,8,0,8,8,0.54
kToM vs WSLS,kToM,WSLS,349,14,6,8,2,0.57
kToM vs WSLS,kToM,WSLS,350,-2,-8,6,14,0.49
kToM vs WSLS,kToM,WSLS,351,10,0,10,10,0.55
kToM vs WSLS,kToM,WSLS,352,-2,-2,0,2,0.49
kToM vs WSLS,kToM,WSLS,353,-2,2,-4,-6,0.49
kToM vs WSLS,kToM,WSLS,354,12,8,4,-4,0.56
kToM vs WSLS,kToM,WSLS,355,16,-2,18,20,0.58
kToM vs WSLS,kToM,WSLS,356,12,4,8,4,0.56
kToM vs WSLS,kToM,WSLS,357,6,-4,10,14,0.53
kToM vs WSLS,kToM,WSLS,358,14,8,6,-2,0.57
kToM vs WSLS,kToM,WSLS,359,8,2,6,4,0.54
kToM vs WSLS,kToM,WSLS,360,6,2,4,2,0.53
kToM vs WSLS,kToM,WSLS,361,22,6,16,10,0.61
